rank,total_amount_eth,total_amount_usd,address_short,last_campaign_end,last_found_date,min_unclaimed_days,max_unclaimed_days,avg_unclaimed_days,avg_claim_probability,total_campaigns,unique_tokens,unique_chains,max_score,total_expected_value,urgency,profit_tier,value_density,inactivity_score,time_decay_risk,recommended_action,opportunity_type,tokens_breakdown,chains_breakdown,whale_flag,is_diversified,address_score
2289,0.0040796,8.91,0xbf3c...368a,2026-04-14,2026-04-13,0.0,0.0,0.0,92.0,1,1,1,29.80398,2.23,low,micro,1.04,very_low,very_high,monitor_monthly,high_confidence_low_value,MORPHO:0.0041ETH,Base:0.0041ETH,no,no,31.7844
2307,0.00402798,8.8,0xf530...537d,2026-04-14,2026-04-13,0.0,5.0,2.5,57.0,2,1,1,19.240292999999998,1.76,low,micro,0.71,very_low,very_high,monitor_monthly,speculative,USDT:0.004ETH,Ethereum:0.004ETH,no,no,20.7254
2325,0.00396056,8.65,0x165b...67b9,2026-04-16,2026-04-13,0.0,0.0,0.0,88.0,1,1,1,28.598028,2.16,low,micro,1.01,very_low,very_high,monitor_monthly,high_confidence_low_value,QUICK:0.004ETH,Base:0.004ETH,no,no,30.4578
2343,0.00389997,8.52,0x4f5f...a371,2026-04-16,2026-04-13,0.0,0.0,0.0,88.0,1,1,1,28.5949985,2.13,low,micro,0.99,very_low,very_high,monitor_monthly,high_confidence_low_value,QUICK:0.0039ETH,Base:0.0039ETH,no,no,30.4545
2361,0.00382813,8.36,0xef8a...28db,2026-04-25,2026-04-13,0.0,0.0,0.0,72.0,1,1,1,23.791406499999997,2.09,low,micro,0.98,very_low,very_high,monitor_monthly,high_confidence_low_value,USDC:0.0038ETH,Base:0.0038ETH,no,no,25.1705
2379,0.00378708,8.27,0x6449...ef25,2026-04-14,2026-04-13,0.0,0.0,0.0,92.0,1,1,1,29.789354,2.07,low,micro,0.96,very_low,very_high,monitor_monthly,high_confidence_low_value,MORPHO:0.0038ETH,Base:0.0038ETH,no,no,31.7683
2397,0.00373434,8.16,0x85ab...27f8,2026-04-24,2026-04-13,0.0,0.0,0.0,80.0,1,1,1,26.186717,2.04,low,micro,0.95,very_low,very_high,monitor_monthly,high_confidence_low_value,WELL:0.0037ETH,Base:0.0037ETH,no,no,27.8054
2415,0.00365161,7.98,0x6be4...42db,2026-04-14,2026-04-13,0.0,0.0,0.0,92.0,1,1,1,29.782580499999998,2.0,low,micro,0.93,very_low,very_high,monitor_monthly,high_confidence_low_value,MORPHO:0.0037ETH,Base:0.0037ETH,no,no,31.7608
2433,0.0035946399999999996,7.85,0x2526...e4f4,2026-04-18,2026-04-13,0.0,0.0,0.0,66.0,2,2,2,24.6191555,1.83,low,micro,0.61,very_low,very_high,monitor_monthly,high_confidence_low_value,OP:0.0024ETH; USDT:0.0012ETH,Optimism:0.0024ETH; Ethereum:0.0012ETH,no,yes,24.4416
2451,0.00354954,7.75,0xe231...b774,2026-04-14,2026-04-13,0.0,0.0,0.0,92.0,1,1,1,29.777476999999998,1.94,low,micro,0.9,very_low,very_high,monitor_monthly,high_confidence_low_value,MORPHO:0.0035ETH,Base:0.0035ETH,no,no,31.7552
2469,0.00347978,7.6,0x2484...071b,2026-04-14,2026-04-13,0.0,5.0,2.5,57.0,2,1,1,19.202267,1.52,low,micro,0.52,very_low,very_high,monitor_monthly,speculative,USDT:0.0035ETH,Ethereum:0.0035ETH,no,no,20.6942
2487,0.00342924,7.49,0xc28a...7bd9,2026-04-14,2026-04-13,0.0,0.0,0.0,92.0,1,1,1,29.771462,1.87,low,micro,0.87,very_low,very_high,monitor_monthly,high_confidence_low_value,MORPHO:0.0034ETH,Base:0.0034ETH,no,no,31.7486
2505,0.00339894,7.42,0xe06a...86a3,2026-04-14,2026-04-13,0.0,0.0,0.0,92.0,1,1,1,29.769947,1.85,low,micro,0.87,very_low,very_high,monitor_monthly,high_confidence_low_value,MORPHO:0.0034ETH,Base:0.0034ETH,no,no,31.7469
2523,0.00339613,7.42,0x220a...3b7b,2026-04-14,2026-04-13,0.0,0.0,0.0,92.0,1,1,1,29.769806499999998,1.85,low,micro,0.87,very_low,very_high,monitor_monthly,high_confidence_low_value,MORPHO:0.0034ETH,Base:0.0034ETH,no,no,31.7468
2541,0.00338493,7.39,0xe424...0bc7,2026-04-14,2026-04-13,0.0,0.0,0.0,92.0,1,1,1,29.769246499999998,1.85,low,micro,0.86,very_low,very_high,monitor_monthly,high_confidence_low_value,MORPHO:0.0034ETH,Base:0.0034ETH,no,no,31.7462
